id,name,popularity,duration_ms,explicit,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist
01H97h3qF7oFMa1DXR1kGZ,Killer Cars,31,183893,false,1995-02-27,0.206,0.919,7,-6,1,0.0643,1.54E-4,0.609,0.313,0.422,175.57,4,Radiohead
03QZPaiw1N94aAFDv7k5Em,Rock 'N' Roll Star - Remastered,50,322947,false,1994-08-29,0.315,0.975,4,-3,1,0.0703,5.58E-4,0.00145,0.467,0.435,138.215,4,Oasis
04UsGrg02dEMLnTZdBNyRI,What in the World - 2017 Remaster,41,144733,false,1977-01-01,0.562,0.97,0,-5,1,0.207,0.027,0.00449,0.0636,0.494,122.922,4,David Bowie
04pkbLDMnaQdx4kV9bbuV4,Ricochet - 2018 Remaster,40,313654,false,1983-04-14,0.664,0.854,7,-7,1,0.0376,0.141,0.0,0.0717,0.738,101.873,3,David Bowie
06GMTy4L8Q7dwVRWLN5Efs,Ziggy Stardust - Live,33,199093,false,1983-10-01,0.354,0.915,7,-7,1,0.129,6.65E-4,0.00199,0.943,0.479,85.643,4,David Bowie
06b2GMtBeNV7IODxVM34fi,Everyone Says 'Hi',44,237667,false,2002-06-11,0.631,0.804,0,-6,1,0.0241,0.0421,1.5E-6,0.249,0.476,98.01,4,David Bowie
0BCPKOYdS2jbQ8iyB56Zns,Clocks,78,307880,false,2002-08-08,0.577,0.749,5,-7,0,0.0279,0.599,0.0115,0.183,0.255,130.97,4,Coldplay
0C5sWHmcl8725KPaVJj1td,The Swamp Song (Excerpt 1) - Remastered,40,44627,false,1995-01-01,0.278,0.702,10,-5,1,0.0474,6.93E-5,0.65,0.236,0.166,143.126,4,Oasis
0CqBLBGfjDs0EIQvt3wQbA,(It's Good) To Be Free - Remastered,41,263533,false,1994-01-01,0.316,0.902,4,-2,0,0.0489,0.00207,0.00713,0.335,0.303,97.848,5,Oasis
0FDzzruyVECATHXKHFs9eJ,A Sky Full of Stars,79,267867,false,2014-05-19,0.545,0.675,6,-6,1,0.0279,0.00617,0.00197,0.209,0.162,124.97,4,Coldplay
0IHOyyFGfmRMuWNwcRPU8Z,Hang on to Yourself - 2012 Remaster,13,159958,false,2015-09-25,0.476,0.788,2,-10,1,0.0322,0.0241,0.0377,0.358,0.936,89.551,4,David Bowie
0IPI7yil60RAOUhlid7GmN,Move On - 2017 Remaster,32,200040,false,1979-01-01,0.445,0.593,8,-10,0,0.0576,0.476,2.71E-4,0.381,0.437,150.481,4,David Bowie
0PRBSIREQi20aXWvOG6p9t,Bring It On Down,22,257893,false,1994-08-29,0.139,0.945,9,-3,1,0.0859,1.15E-5,0.884,0.41,0.205,150.42,4,Oasis
0QRF5DfHjWxd4MHoQk2rgO,The Masterplan - Remastered,52,325200,false,1995-01-01,0.417,0.596,7,-6,1,0.0302,0.0145,9.22E-5,0.0725,0.156,73.958,4,Oasis
0SlpFHdk4UHBDzCEoXzy14,Stop Crying Your Heart Out,66,303120,false,2002-07-01,0.331,0.558,2,-5,1,0.031,0.0689,1.96E-6,0.124,0.0985,150.19,4,Oasis
0TcXlhDwt1TJpVZ7CMzCwR,Little Wonder,44,362333,false,1997-01-30,0.544,0.936,1,-6,0,0.126,0.00146,0.0108,0.481,0.329,151.942,4,David Bowie
0ViKGBsiDt52DwsLALWDSr,Wonderwall,42,258080,false,2006-11-13,0.407,0.889,6,-4,0,0.0325,6.91E-4,0.0,0.189,0.699,174.585,4,Oasis
0bx62Ku1d0ZyZfdLo67nZw,Queen Bitch - 2015 Remaster,20,200507,false,2015-09-25,0.599,0.637,0,-13,1,0.0305,0.0248,0.0,0.0612,0.968,137.171,4,David Bowie
0g1Y10aIIdJDkcSEuAq51k,The Masterplan,52,322640,false,1998-11-03,0.363,0.603,7,-6,1,0.0309,0.0966,3.71E-5,0.0799,0.197,149.631,4,Oasis
0iKRf868w4SYEBDILQu8ob,Aladdin Sane - 2013 Remaster,44,310427,false,1973-04-13,0.42,0.713,2,-10,1,0.0409,0.209,5.86E-4,0.12,0.555,117.853,4,David Bowie
0iWHMJwpVl46UJ2KZ2IEKt,Can You Hear Me - 2016 Remaster,39,308733,false,1975-03-07,0.46,0.45,5,-9,1,0.0355,0.12,1.15E-5,0.438,0.227,75.44,4,David Bowie
0pQskrTITgmCMyr85tb9qq,Starman - 2012 Remaster,74,254293,false,1972-06-06,0.486,0.449,5,-10,1,0.0267,0.166,2.23E-6,0.54,0.549,100.456,4,David Bowie
0pRZICnSvDZJjzaGndQX4p,Neighborhood Threat - 2018 Remaster,28,192667,false,1984-09-29,0.494,0.97,4,-5,0,0.213,0.147,3.65E-5,0.39,0.661,159.79,4,David Bowie
0qkTP1X9QxYPHV75zutmxi,Take Me Away - Remastered,37,272773,false,1994-08-29,0.454,0.332,2,-10,1,0.0286,0.655,0.0,0.235,0.115,112.186,4,Oasis
0u35Dpz37TY2M2j20RUdMf,Politik,61,318627,false,2002-08-08,0.262,0.482,5,-7,0,0.0294,0.0364,1.89E-4,0.11,0.063,170.968,4,Coldplay
0xGEN0oAi94hMAZf2GHutL,Stop Crying Your Heart Out,34,303133,false,2002-06-26,0.38,0.586,2,-5,1,0.0304,0.0754,0.0,0.0782,0.0804,74.95,4,Oasis
0zc2UcrURBMVTyV7J0wrAP,Hey Now - Remastered,51,341907,false,1995-10-02,0.148,0.933,2,-2,1,0.0658,3.01E-4,0.00139,0.382,0.205,202.196,4,Oasis
10fOKTNaGzajbX5SdS00Ut,Up In The Sky - Remastered,50,268000,false,1994-01-01,0.256,0.908,0,-3,1,0.0398,1.53E-5,0.0193,0.354,0.341,140.533,4,Oasis
10mNC6t0Ic45bAlnB8joXh,"Anyway, Anyhow, Anywhere - 2015 Remaster",8,193613,false,2015-09-25,0.501,0.775,9,-11,1,0.0459,0.0552,0.00668,0.359,0.517,138.55,4,David Bowie
11JIdNpBagg6G0NHLDm2v2,Acquiesce - Remastered,48,267987,false,1995-10-02,0.204,0.928,7,-3,1,0.0795,0.00974,7.46E-4,0.334,0.209,112.864,4,Oasis
122rube9BowhtWkplkNxbp,Bonehead's Bank Holiday - Remastered,45,242920,false,1995-01-01,0.329,0.813,7,-4,1,0.123,0.294,0.0,0.369,0.526,166.114,4,Oasis
13nQ70PnhDnTkYqCmdg3sy,I Can't,44,253093,false,1993-02-22,0.27,0.825,7,-10,1,0.0607,0.00985,0.308,0.118,0.273,106.147,4,Radiohead
16yCM31oNobdEpimWVfB5L,Star - 2012 Remaster,11,167551,false,2015-09-25,0.452,0.856,0,-8,1,0.0448,0.178,3.32E-5,0.185,0.553,138.486,4,David Bowie
1CZpWzCvN6fl2WslWTyPn2,Slide Away,42,392773,false,1994-08-29,0.0807,0.952,5,-3,0,0.124,9.86E-4,2.57E-5,0.22,0.228,188.397,4,Oasis
1DadkoAI2gicYJfindPY20,Wonderwall,32,259840,false,2010-01-01,0.405,0.894,2,-4,1,0.0343,8.01E-4,0.0,0.226,0.642,174.502,4,Oasis
1E6O2lMOZbzGRS38rAer2I,Young Americans - 2016 Remaster,25,313707,false,1976-01-01,0.6,0.731,2,-10,1,0.133,0.187,0.0,0.129,0.916,83.889,4,David Bowie
1EB8LB1Hu5T4C8Zk9z1Ckh,Fuckin' in the Bushes,51,198533,true,2000-02-28,0.152,0.825,9,-8,0,0.0486,0.00142,0.0454,0.898,0.338,100.499,4,Oasis
1FoUsSi9BCTlNt2Vd7V8XA,Optimistic,54,315973,false,2000-10-02,0.402,0.757,7,-9,0,0.0371,0.0496,0.846,0.305,0.573,157.96,4,Radiohead
1Fs3ztVolcf5DPV5vIXt5z,"John, I'm Only Dancing - Original Single Version, 2012 Remaster",16,166787,false,2015-09-25,0.448,0.517,11,-12,0,0.0594,0.00741,0.00247,0.126,0.736,153.656,4,David Bowie
1HLbeCJcoW6Bo9xNgWXlSO,Joe the Lion - 2017 Remaster,40,188133,false,1977-01-01,0.492,0.945,3,-4,0,0.126,0.0233,0.182,0.133,0.66,121.606,4,David Bowie
1HyRsq9UzKEPv2Dm1Cwpe4,Janine - 2015 Remaster,36,205827,false,1969-11-04,0.541,0.664,7,-11,1,0.0521,0.0608,9.55E-6,0.0814,0.77,88.883,4,David Bowie
1IUTwsZc5TraUlZr0SqEnD,"Peter and the Wolf, Op. 67: The Wolf",13,122000,false,1988-01-01,0.351,0.202,2,-19,0,0.0789,0.886,0.0771,0.239,0.197,85.443,4,David Bowie
