id,name,popularity,duration_ms,explicit,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist
02d1E4NRuh7OEQO4vCb9PD,Marry The Night,61,264520,false,2011-05-23,0.612,0.877,0,-4,1,0.064,9.92E-4,0.00563,0.462,0.38,131.068,4,Lady Gaga
08gavXombT6KR0af88i9tA,Jump Then Fall,55,237067,false,2008-11-11,0.618,0.687,2,-5,1,0.0271,0.111,0.0,0.0693,0.82,79.991,4,Taylor Swift
0GxW5K0qzrq7L1jwSY5OmY,Mine - POP Mix,54,230547,false,2010-01-01,0.696,0.768,7,-3,1,0.0308,0.00461,1.21E-6,0.101,0.692,121.05,4,Taylor Swift
0Jlcvv8IykzHaSmj49uNW8,the 1,78,210252,true,2020-07-24,0.777,0.357,0,-6,1,0.0522,0.757,7.28E-6,0.108,0.172,139.883,4,Taylor Swift
0OAHsZ8vrS2NKom3cvfJQD,Mine - POP Mix,45,230547,false,2010-01-01,0.696,0.768,7,-3,1,0.0308,0.00461,1.21E-6,0.101,0.692,121.05,4,Taylor Swift
0PWgAyoxsjwGRuFSO0fyya,Better Than Revenge,65,217173,false,2010-01-01,0.519,0.917,11,-3,0,0.0887,0.0167,2.06E-5,0.359,0.652,145.882,4,Taylor Swift
0T2kNwYw4Z7rhziNRNsjfO,Should've Said No,53,244080,false,2006-10-24,0.477,0.758,4,-3,0,0.0285,0.00983,0.0,0.203,0.53,167.935,4,Taylor Swift
0VRxqpFICUHJKuWx9sQrm6,He Wasn't,54,179360,false,2004-01-01,0.409,0.855,7,-3,1,0.0477,2.07E-4,2.81E-5,0.0818,0.66,172.911,4,Avril Lavigne
0VwNdo84DaVYLIkbVO86ND,We Are Never Ever Getting Back Together,78,193147,false,2012-10-22,0.628,0.676,7,-5,1,0.0916,0.00957,2.65E-5,0.121,0.75,85.984,4,Taylor Swift
0YgHuReCSPwTXYny7isLja,A Perfectly Good Heart,47,220147,false,2006-10-24,0.483,0.751,4,-5,1,0.0365,0.00349,0.0,0.128,0.268,156.092,4,Taylor Swift
0ck1qErO76fM9xKxuSeqDk,The Best Day,48,246320,false,2008-11-11,0.666,0.449,1,-8,1,0.029,0.622,1.92E-6,0.149,0.345,126.083,4,Taylor Swift
0dBW6ZsW8skfvoRfgeerBF,Mine,66,230707,false,2010-10-25,0.624,0.757,7,-2,1,0.0296,0.00265,1.87E-6,0.189,0.658,121.07,4,Taylor Swift
0gVpWodvUHcvcgVjK26Jga,Poker Face,3,238320,false,2015-12-11,0.85,0.784,8,-5,0,0.0785,0.134,2.52E-6,0.0997,0.779,119.0,4,Lady Gaga
0iOu4s8w3pE9vbpb1SHXsL,Alejandro,53,274213,false,2009-01-01,0.626,0.799,11,-6,0,0.046,3.58E-4,0.00155,0.36,0.369,98.992,4,Lady Gaga
0k0vFacOHNuArLWMiH60p7,Tell Me Why (Taylor’s Version),77,200576,false,2021-04-09,0.578,0.909,7,-3,1,0.0628,0.0222,0.0,0.333,0.541,100.023,4,Taylor Swift
0sY6ZUTh4yoctD8VIXz339,champagne problems,81,244000,true,2020-12-11,0.462,0.24,0,-12,1,0.0377,0.92,0.0,0.113,0.32,171.319,4,Taylor Swift
0uNMe6UEqe9uGazPgUGnLD,Paparazzi,56,208307,false,2009-11-05,0.762,0.692,5,-3,0,0.0438,0.113,0.0,0.094,0.397,114.906,4,Lady Gaga
